state,population,est,accounts
Rajasthan,5.5,66855,6995212
Mizoram,1.2,337,9750
Tamil Nadu,3.2,134882,30302849
Madhya Pradesh,5.8,60808,5873451
Maharashtra,6.5,266194,54073388
Chhattisgarh,5.6,24356,2352202
Gujarat,1.4,109011,19450871
Odisha,3.7,40226,3741177
Andhra Pradesh,6.7,45518,5390742
Karnataka,8.9,128904,31463345
Goa,9.3,6397,1681266
Kerala,1.2,39055,3724001
Telangana,3.54,79292,14521764
West Bengal,4.5,85420,11207093
Dadra and Nagar Haveli and Daman and Diu,3.4,177,51906
Puducherry,4.5,2821,541102
Lakshadweep,5.6,29,149
Arunachal Pradesh,6.4,2709,36827
Assam,0.3,30565,1068990
Nagaland,4.2,784,22858
Meghalaya,3.2,3364,131261
Manipur,6.7,1571,41259
Tripura,2.3,1908,108863
Andaman and Nicobar Islands,0.2,1309,50558
Uttar Pradesh,3.3,125161,12083986
Delhi,5,80864,14466337
Haryana,1.2,70232,18482648
Sikkim,1.6,762,95491
Bihar,3.2,45870,2410379
Jharkhand,2.3,28466,2677264
Ladakh,0.4,39055,3724001
Jammu and Kashmir,0.9,10818,461042
Himachal Pradesh,1.1,16884,1930994
Punjab,1.3,44811,6083458
Uttarakhand,4.5,18798,4089117
Chandigarh,5.6,4344,1067762
